order_id,date,month,quarter,product,category,unit_price,quantity,discount_pct,revenue,city,customer_gender,payment_method
ORD0044,2023-11-21,November,Q4,Running Shoes,Clothing,2630.05,1,0,2630.05,Pune,Female,Credit Card
ORD0045,2023-03-24,March,Q1,Laptop,Electronics,56674.48,2,10,102014.06,Ahmedabad,Female,Net Banking
ORD0046,2023-01-19,January,Q1,Laptop,Electronics,48915.59,2,20,78264.94,Kolkata,Male,Cash
ORD0047,2023-07-03,July,Q3,Headphones,Electronics,975.68,3,0,2927.04,Hyderabad,Male,Credit Card
ORD0048,2023-03-21,March,Q1,T-Shirt,Clothing,1001.88,4,20,3206.02,Hyderabad,Male,Debit Card
ORD0049,2023-12-09,December,Q4,Jeans,Clothing,853.55,3,15,2176.55,Hyderabad,Female,Debit Card
ORD0050,2023-04-24,April,Q2,Smartphone,Electronics,24623.88,1,15,20930.3,Hyderabad,Female,UPI
ORD0051,2023-01-13,January,Q1,Bookshelf,Furniture,5192.41,2,5,9865.58,Hyderabad,Female,UPI
ORD0052,2023-11-25,November,Q4,Bookshelf,Furniture,5389.59,3,10,14551.89,Jaipur,Female,Net Banking
ORD0053,2023-04-02,April,Q2,T-Shirt,Clothing,1145.25,1,10,1030.73,Lucknow,Female,Credit Card
ORD0054,2023-08-12,August,Q3,Smartphone,Electronics,31686.85,3,10,85554.49,Lucknow,Male,Cash
ORD0055,2023-01-01,January,Q1,Coffee Beans,Grocery,609.09,1,15,517.73,Jaipur,Male,UPI
ORD0056,2023-06-10,June,Q2,Jeans,Clothing,953.01,3,20,2287.22,Delhi,Female,Net Banking
ORD0057,2023-12-23,December,Q4,Bookshelf,Furniture,4501.02,3,15,11477.6,Chennai,Male,Debit Card
ORD0058,2023-11-12,November,Q4,Jeans,Clothing,2262.51,4,5,8597.54,Lucknow,Female,Cash
ORD0059,2023-04-18,April,Q2,Rice 5kg,Grocery,541.8,3,10,1462.86,Pune,Female,Cash
ORD0060,2023-08-31,August,Q3,Running Shoes,Clothing,3489.72,2,20,5583.55,Bangalore,Male,UPI
ORD0061,2023-02-17,February,Q1,Rice 5kg,Grocery,482.35,5,10,2170.58,Hyderabad,Female,Debit Card
ORD0062,2023-09-01,September,Q3,Desk Chair,Furniture,4326.19,1,5,4109.88,Lucknow,Male,Cash
ORD0063,2023-12-23,December,Q4,Jeans,Clothing,2749.39,5,5,13059.6,Pune,Female,Cash
ORD0064,2023-08-06,August,Q3,Desk Chair,Furniture,4328.14,1,0,4328.14,Hyderabad,Male,Net Banking
ORD0065,2023-08-22,August,Q3,Running Shoes,Clothing,1725.98,2,0,3451.96,Bangalore,Female,Net Banking
ORD0066,2023-09-16,September,Q3,Rice 5kg,Grocery,458.41,4,20,1466.91,Pune,Female,Debit Card
ORD0067,2023-09-24,September,Q3,Running Shoes,Clothing,3525.31,2,10,6345.56,Ahmedabad,Male,UPI
ORD0068,2023-05-20,May,Q2,Running Shoes,Clothing,1848.68,3,5,5268.74,Kolkata,Female,Net Banking
ORD0069,2023-12-22,December,Q4,Smartphone,Electronics,16566.34,2,15,28162.78,Bangalore,Male,Credit Card
ORD0070,2023-08-01,August,Q3,Jeans,Clothing,1696.13,5,15,7208.55,Mumbai,Male,Cash
ORD0071,2023-10-22,October,Q4,Jeans,Clothing,2790.55,5,0,13952.75,Pune,Female,Credit Card
ORD0072,2023-10-03,October,Q4,T-Shirt,Clothing,568.05,4,15,1931.37,Jaipur,Male,Cash
ORD0073,2023-07-19,July,Q3,Desk Chair,Furniture,5456.42,4,0,21825.68,Kolkata,Female,Debit Card
ORD0074,2023-01-14,January,Q1,Running Shoes,Clothing,5637.94,5,20,22551.76,Pune,Male,Credit Card
ORD0075,2023-01-26,January,Q1,Jeans,Clothing,1097.67,4,5,4171.15,Chennai,Female,UPI
ORD0076,2023-05-23,May,Q2,Desk Chair,Furniture,7092.29,3,15,18085.34,Pune,Female,Credit Card
ORD0077,2023-06-29,June,Q2,Running Shoes,Clothing,1587.22,5,0,7936.1,Hyderabad,Male,Credit Card
ORD0078,2023-11-15,November,Q4,Laptop,Electronics,78236.41,2,0,156472.82,Bangalore,Male,Debit Card
ORD0079,2023-08-27,August,Q3,Running Shoes,Clothing,4512.56,5,5,21434.66,Chennai,Female,Debit Card
ORD0080,2023-06-09,June,Q2,Coffee Beans,Grocery,1067.97,1,5,1014.57,Delhi,Male,UPI
ORD0081,2023-04-12,April,Q2,Coffee Beans,Grocery,1145.08,4,15,3893.27,Delhi,Male,Credit Card
ORD0082,2023-10-17,October,Q4,Bookshelf,Furniture,5326.32,5,0,26631.6,Mumbai,Female,Net Banking
ORD0083,2023-11-28,November,Q4,Jeans,Clothing,2255.01,1,20,1804.01,Kolkata,Male,Cash
ORD0084,2023-12-29,December,Q4,Running Shoes,Clothing,1974.92,3,15,5036.05,Bangalore,Female,Debit Card
ORD0085,2023-10-03,October,Q4,Rice 5kg,Grocery,587.92,3,20,1411.01,Ahmedabad,Female,Cash
ORD0086,2023-05-23,May,Q2,Coffee Beans,Grocery,695.24,2,0,1390.48,Ahmedabad,Male,Cash
ORD0087,2023-01-15,January,Q1,Coffee Beans,Grocery,1071.36,4,10,3856.9,Ahmedabad,Female,Debit Card
ORD0088,2023-05-24,May,Q2,Running Shoes,Clothing,2454.54,3,10,6627.26,Lucknow,Female,Net Banking
ORD0089,2023-05-04,May,Q2,Laptop,Electronics,63081.95,2,0,126163.9,Pune,Female,Net Banking
ORD0090,2023-01-09,January,Q1,Desk Chair,Furniture,9215.48,4,15,31332.63,Delhi,Female,Debit Card
ORD0091,2023-07-08,July,Q3,Jeans,Clothing,2321.62,3,20,5571.89,Ahmedabad,Female,Cash
ORD0092,2023-06-06,June,Q2,Rice 5kg,Grocery,365.78,4,10,1316.81,Chennai,Male,Credit Card
ORD0093,2023-04-09,April,Q2,Desk Chair,Furniture,5839.93,5,5,27739.67,Hyderabad,Female,UPI
ORD0094,2023-05-25,May,Q2,Coffee Beans,Grocery,1474.27,5,20,5897.08,Delhi,Male,UPI
ORD0095,2023-12-29,December,Q4,Desk Chair,Furniture,6247.93,3,0,18743.79,Jaipur,Male,UPI
ORD0096,2023-12-24,December,Q4,Laptop,Electronics,79100.32,5,10,355951.44,Bangalore,Female,Credit Card
ORD0097,2023-08-14,August,Q3,Laptop,Electronics,65092.25,4,15,221313.65,Kolkata,Male,Credit Card
ORD0098,2023-02-03,February,Q1,Bookshelf,Furniture,5734.79,4,0,22939.16,Pune,Female,Credit Card
ORD0099,2023-03-18,March,Q1,Coffee Beans,Grocery,1092.39,1,5,1037.77,Lucknow,Female,Credit Card
ORD0100,2023-11-02,November,Q4,Desk Chair,Furniture,4066.06,4,20,13011.39,Lucknow,Male,Net Banking
ORD0101,2023-10-29,October,Q4,Jeans,Clothing,1790.58,4,10,6446.09,Pune,Female,Net Banking
ORD0102,2023-11-17,November,Q4,Coffee Beans,Grocery,466.25,1,5,442.94,Hyderabad,Female,Credit Card
ORD0103,2023-03-22,March,Q1,Headphones,Electronics,1807.43,5,0,9037.15,Mumbai,Female,Cash
ORD0104,2023-05-28,May,Q2,Coffee Beans,Grocery,916.9,1,5,871.05,Chennai,Female,Credit Card
ORD0105,2023-08-06,August,Q3,Desk Chair,Furniture,11315.2,5,5,53747.2,Delhi,Male,Debit Card
ORD0106,2023-03-26,March,Q1,Bookshelf,Furniture,5219.84,1,0,5219.84,Chennai,Female,Cash
ORD0107,2023-05-20,May,Q2,Smartphone,Electronics,27467.03,3,15,70040.93,Jaipur,Female,Cash
ORD0108,2023-11-06,November,Q4,Smartphone,Electronics,31735.21,4,10,114246.76,Chennai,Male,Credit Card
ORD0109,2023-01-11,January,Q1,Desk Chair,Furniture,11657.2,5,20,46628.8,Chennai,Male,Debit Card
ORD0110,2023-04-03,April,Q2,Running Shoes,Clothing,3835.34,4,10,13807.22,Lucknow,Female,Cash
ORD0111,2023-06-14,June,Q2,Smartphone,Electronics,27510.34,4,10,99037.22,Delhi,Male,UPI
ORD0112,2023-10-09,October,Q4,Jeans,Clothing,2325.78,3,15,5930.74,Mumbai,Female,Credit Card
ORD0113,2023-09-21,September,Q3,T-Shirt,Clothing,526.41,1,15,447.45,Mumbai,Female,Cash
ORD0114,2023-09-13,September,Q3,Laptop,Electronics,51565.39,3,20,123756.94,Ahmedabad,Male,Debit Card
ORD0115,2023-12-24,December,Q4,Bookshelf,Furniture,3971.49,3,15,10127.3,Ahmedabad,Male,Credit Card
ORD0116,2023-10-10,October,Q4,Coffee Beans,Grocery,1279.25,2,10,2302.65,Mumbai,Female,Credit Card
ORD0117,2023-03-02,March,Q1,Desk Chair,Furniture,11930.31,1,15,10140.76,Bangalore,Female,UPI
ORD0118,2023-08-30,August,Q3,Rice 5kg,Grocery,496.89,4,15,1689.43,Hyderabad,Female,Net Banking
ORD0119,2023-03-11,March,Q1,Headphones,Electronics,2411.06,5,20,9644.24,Delhi,Female,Cash
ORD0120,2023-01-02,January,Q1,T-Shirt,Clothing,1140.76,5,10,5133.42,Chennai,Female,Net Banking
ORD0121,2023-08-17,August,Q3,Coffee Beans,Grocery,1498.79,4,5,5695.4,Jaipur,Female,UPI
ORD0122,2023-08-22,August,Q3,T-Shirt,Clothing,796.28,5,15,3384.19,Kolkata,Male,Debit Card
ORD0123,2023-06-12,June,Q2,Coffee Beans,Grocery,821.27,4,0,3285.08,Ahmedabad,Female,Cash
ORD0124,2023-09-15,September,Q3,Headphones,Electronics,2880.38,1,5,2736.36,Lucknow,Female,Credit Card
ORD0125,2023-03-15,March,Q1,Running Shoes,Clothing,1948.7,4,0,7794.8,Pune,Male,Credit Card
ORD0126,2023-11-16,November,Q4,Running Shoes,Clothing,5016.86,3,10,13545.52,Pune,Male,UPI
ORD0127,2023-10-05,October,Q4,Rice 5kg,Grocery,383.0,3,15,976.65,Mumbai,Male,Debit Card
ORD0128,2023-02-20,February,Q1,Bookshelf,Furniture,5988.42,1,15,5090.16,Delhi,Female,Debit Card
ORD0129,2023-01-29,January,Q1,Bookshelf,Furniture,5565.41,1,10,5008.87,Chennai,Female,UPI
ORD0130,2023-10-17,October,Q4,Jeans,Clothing,1119.4,5,15,4757.45,Bangalore,Male,Debit Card
ORD0131,2023-12-16,December,Q4,Smartphone,Electronics,32113.23,4,20,102762.34,Hyderabad,Female,Net Banking
ORD0132,2023-05-11,May,Q2,Headphones,Electronics,1775.19,3,15,4526.73,Mumbai,Female,UPI
ORD0133,2023-10-28,October,Q4,Rice 5kg,Grocery,305.29,4,10,1099.04,Chennai,Female,UPI
ORD0134,2023-09-05,September,Q3,Running Shoes,Clothing,5303.87,2,15,9016.58,Delhi,Male,Cash
ORD0135,2023-01-12,January,Q1,Coffee Beans,Grocery,794.86,3,10,2146.12,Pune,Female,Credit Card
ORD0136,2023-09-12,September,Q3,Coffee Beans,Grocery,1351.57,1,20,1081.26,Chennai,Male,Net Banking
ORD0137,2023-05-09,May,Q2,T-Shirt,Clothing,496.32,2,20,794.11,Bangalore,Male,Credit Card
ORD0138,2023-07-06,July,Q3,Bookshelf,Furniture,5048.75,1,20,4039.0,Bangalore,Male,UPI
ORD0139,2023-03-09,March,Q1,T-Shirt,Clothing,972.48,2,5,1847.71,Jaipur,Female,Net Banking
ORD0140,2023-09-04,September,Q3,Rice 5kg,Grocery,569.72,2,10,1025.5,Chennai,Female,Credit Card
ORD0141,2023-12-13,December,Q4,Running Shoes,Clothing,5833.02,2,5,11082.74,Pune,Female,Credit Card
ORD0142,2023-08-21,August,Q3,Jeans,Clothing,829.63,5,0,4148.15,Kolkata,Female,Net Banking
ORD0143,2023-12-12,December,Q4,Jeans,Clothing,2609.14,3,0,7827.42,Hyderabad,Female,Credit Card
ORD0144,2023-11-09,November,Q4,Coffee Beans,Grocery,1372.66,5,10,6176.97,Hyderabad,Male,Cash
ORD0145,2023-01-24,January,Q1,Bookshelf,Furniture,4421.58,1,5,4200.5,Mumbai,Female,Cash
ORD0146,2023-07-18,July,Q3,Smartphone,Electronics,15207.34,5,5,72234.86,Ahmedabad,Female,Net Banking
ORD0147,2023-12-02,December,Q4,Jeans,Clothing,2091.74,2,15,3555.96,Delhi,Female,Net Banking
ORD0148,2023-12-20,December,Q4,Jeans,Clothing,2865.86,3,0,8597.58,Kolkata,Male,Cash
ORD0149,2023-12-18,December,Q4,Running Shoes,Clothing,5777.5,3,0,17332.5,Kolkata,Female,Credit Card
ORD0150,2023-02-16,February,Q1,Jeans,Clothing,1406.22,1,15,1195.29,Hyderabad,Male,Credit Card
ORD0151,2023-04-16,April,Q2,T-Shirt,Clothing,518.46,2,20,829.54,Delhi,Male,Net Banking
ORD0152,2023-03-17,March,Q1,Desk Chair,Furniture,10317.48,2,10,18571.46,Lucknow,Male,UPI
ORD0153,2023-03-31,March,Q1,Headphones,Electronics,4947.61,5,10,22264.24,Delhi,Male,Debit Card
ORD0154,2023-06-15,June,Q2,Laptop,Electronics,57538.48,2,20,92061.57,Mumbai,Male,UPI
ORD0155,2023-02-28,February,Q1,Laptop,Electronics,49436.55,4,20,158196.96,Delhi,Female,Cash
ORD0156,2023-09-15,September,Q3,T-Shirt,Clothing,761.43,1,15,647.22,Hyderabad,Male,Net Banking
ORD0157,2023-09-03,September,Q3,Bookshelf,Furniture,3561.19,1,0,3561.19,Pune,Female,Credit Card
ORD0158,2023-02-11,February,Q1,Running Shoes,Clothing,4705.81,4,0,18823.24,Kolkata,Male,Credit Card
ORD0159,2023-12-31,December,Q4,Headphones,Electronics,1955.07,5,20,7820.28,Kolkata,Female,Net Banking
ORD0160,2023-08-09,August,Q3,Rice 5kg,Grocery,353.21,5,20,1412.84,Delhi,Male,Net Banking
ORD0161,2023-06-23,June,Q2,Desk Chair,Furniture,6870.63,2,15,11680.07,Ahmedabad,Female,Cash
ORD0162,2023-07-11,July,Q3,Smartphone,Electronics,22314.1,3,10,60248.07,Bangalore,Female,Credit Card
ORD0163,2023-02-19,February,Q1,Smartphone,Electronics,39448.47,1,15,33531.2,Kolkata,Male,Net Banking
ORD0164,2023-06-18,June,Q2,Laptop,Electronics,65526.28,5,20,262105.12,Delhi,Female,UPI
ORD0165,2023-11-04,November,Q4,Jeans,Clothing,2709.67,1,10,2438.7,Chennai,Female,Credit Card
ORD0166,2023-04-25,April,Q2,Coffee Beans,Grocery,958.15,2,15,1628.86,Delhi,Female,Net Banking
ORD0167,2023-04-26,April,Q2,T-Shirt,Clothing,402.51,3,20,966.02,Pune,Male,Net Banking
ORD0168,2023-06-23,June,Q2,Bookshelf,Furniture,1630.29,3,10,4401.78,Kolkata,Male,Debit Card
ORD0169,2023-03-14,March,Q1,Headphones,Electronics,3178.55,4,0,12714.2,Mumbai,Male,Net Banking
ORD0170,2023-03-22,March,Q1,Desk Chair,Furniture,6385.75,4,10,22988.7,Kolkata,Female,UPI
ORD0171,2023-03-22,March,Q1,Coffee Beans,Grocery,1055.85,1,5,1003.06,Lucknow,Male,Credit Card
ORD0172,2023-11-07,November,Q4,Bookshelf,Furniture,3494.01,4,15,11879.63,Ahmedabad,Female,UPI
ORD0173,2023-08-09,August,Q3,Desk Chair,Furniture,9794.49,1,10,8815.04,Delhi,Female,Net Banking
ORD0174,2023-04-23,April,Q2,Running Shoes,Clothing,3871.2,3,0,11613.6,Pune,Male,Credit Card
ORD0175,2023-05-11,May,Q2,Desk Chair,Furniture,5712.77,2,5,10854.26,Chennai,Female,Credit Card
ORD0176,2023-03-08,March,Q1,Laptop,Electronics,62408.49,4,5,237152.26,Pune,Male,Net Banking
ORD0177,2023-07-23,July,Q3,Rice 5kg,Grocery,541.67,3,0,1625.01,Mumbai,Female,Credit Card
ORD0178,2023-08-08,August,Q3,Running Shoes,Clothing,5645.23,3,20,13548.55,Lucknow,Female,Cash
ORD0179,2023-03-29,March,Q1,Bookshelf,Furniture,2018.28,1,10,1816.45,Lucknow,Female,UPI
ORD0180,2023-08-12,August,Q3,Smartphone,Electronics,26411.49,1,5,25090.92,Lucknow,Female,Net Banking
ORD0181,2023-04-24,April,Q2,Smartphone,Electronics,25060.3,3,10,67662.81,Kolkata,Male,Credit Card
ORD0182,2023-04-10,April,Q2,Rice 5kg,Grocery,471.63,5,20,1886.52,Kolkata,Female,Debit Card
ORD0183,2023-03-30,March,Q1,Desk Chair,Furniture,3925.24,3,5,11186.93,Lucknow,Male,Credit Card
ORD0184,2023-10-16,October,Q4,Headphones,Electronics,4795.43,4,15,16304.46,Lucknow,Female,Net Banking
ORD0185,2023-08-14,August,Q3,Coffee Beans,Grocery,755.53,3,5,2153.26,Delhi,Female,Cash
ORD0186,2023-06-30,June,Q2,Bookshelf,Furniture,5083.48,5,0,25417.4,Jaipur,Male,UPI
ORD0187,2023-05-27,May,Q2,Running Shoes,Clothing,3533.61,1,10,3180.25,Delhi,Male,Net Banking
ORD0188,2023-10-11,October,Q4,Coffee Beans,Grocery,957.77,4,20,3064.86,Mumbai,Female,Net Banking
ORD0189,2023-03-19,March,Q1,Desk Chair,Furniture,5893.74,4,20,18859.97,Mumbai,Female,Credit Card
ORD0190,2023-11-27,November,Q4,T-Shirt,Clothing,1184.13,1,20,947.3,Bangalore,Male,Debit Card
ORD0191,2023-11-09,November,Q4,Running Shoes,Clothing,5959.44,5,20,23837.76,Bangalore,Female,UPI
ORD0192,2023-01-27,January,Q1,Bookshelf,Furniture,3243.37,3,20,7784.09,Kolkata,Male,UPI
ORD0193,2023-05-10,May,Q2,Smartphone,Electronics,30412.79,4,10,109486.04,Lucknow,Male,UPI
ORD0194,2023-06-08,June,Q2,Smartphone,Electronics,31230.4,2,10,56214.72,Pune,Male,Net Banking
ORD0195,2023-03-07,March,Q1,Smartphone,Electronics,22216.2,4,10,79978.32,Jaipur,Male,Cash
ORD0196,2023-04-03,April,Q2,Rice 5kg,Grocery,376.64,3,10,1016.93,Hyderabad,Female,Cash
ORD0197,2023-02-09,February,Q1,Desk Chair,Furniture,5038.89,2,5,9573.89,Chennai,Male,Net Banking
ORD0198,2023-12-05,December,Q4,Rice 5kg,Grocery,542.29,5,0,2711.45,Kolkata,Male,Net Banking
ORD0199,2023-03-26,March,Q1,Jeans,Clothing,1138.51,2,20,1821.62,Ahmedabad,Male,Cash
ORD0200,2023-11-09,November,Q4,T-Shirt,Clothing,908.4,2,15,1544.28,Chennai,Female,Debit Card
ORD0201,2023-07-08,July,Q3,Rice 5kg,Grocery,333.71,4,5,1268.1,Lucknow,Female,Cash
ORD0202,2023-08-03,August,Q3,Bookshelf,Furniture,5001.56,5,20,20006.24,Bangalore,Male,Net Banking
ORD0203,2023-07-10,July,Q3,Headphones,Electronics,4466.61,1,15,3796.62,Jaipur,Male,Net Banking
ORD0204,2023-08-19,August,Q3,Smartphone,Electronics,21407.08,2,10,38532.74,Jaipur,Male,Cash
ORD0205,2023-06-28,June,Q2,Smartphone,Electronics,43231.64,2,15,73493.79,Mumbai,Female,Credit Card
ORD0206,2023-02-11,February,Q1,Jeans,Clothing,1903.92,2,15,3236.66,Kolkata,Male,Credit Card
ORD0207,2023-03-12,March,Q1,T-Shirt,Clothing,1137.67,3,5,3242.36,Mumbai,Female,Cash
ORD0208,2023-11-12,November,Q4,Headphones,Electronics,3987.13,4,15,13556.24,Mumbai,Male,Credit Card
ORD0209,2023-11-08,November,Q4,Bookshelf,Furniture,2470.45,2,20,3952.72,Jaipur,Female,Credit Card
ORD0210,2023-05-03,May,Q2,Bookshelf,Furniture,2569.38,1,0,2569.38,Pune,Female,Credit Card
ORD0211,2023-10-02,October,Q4,Smartphone,Electronics,39610.69,4,20,126754.21,Mumbai,Male,Debit Card
ORD0212,2023-05-04,May,Q2,Bookshelf,Furniture,3431.58,5,10,15442.11,Lucknow,Female,Debit Card
ORD0213,2023-09-27,September,Q3,Smartphone,Electronics,29274.99,3,0,87824.97,Jaipur,Male,Cash
ORD0214,2023-05-10,May,Q2,Running Shoes,Clothing,1695.9,4,10,6105.24,Mumbai,Female,Credit Card
ORD0215,2023-06-20,June,Q2,T-Shirt,Clothing,516.25,1,20,413.0,Bangalore,Male,UPI
ORD0216,2023-12-23,December,Q4,Rice 5kg,Grocery,368.49,2,15,626.43,Ahmedabad,Male,Debit Card
ORD0217,2023-05-31,May,Q2,Smartphone,Electronics,35629.49,4,0,142517.96,Hyderabad,Male,Debit Card
ORD0218,2023-07-23,July,Q3,Laptop,Electronics,56045.85,3,20,134510.04,Jaipur,Female,UPI
ORD0219,2023-07-02,July,Q3,Laptop,Electronics,71365.18,2,10,128457.32,Mumbai,Female,UPI
ORD0220,2023-08-14,August,Q3,Smartphone,Electronics,38378.3,4,15,130486.22,Pune,Female,Debit Card
ORD0221,2023-05-17,May,Q2,Running Shoes,Clothing,4614.31,3,20,11074.34,Delhi,Female,Credit Card
ORD0222,2023-05-31,May,Q2,Jeans,Clothing,2125.0,2,20,3400.0,Kolkata,Male,Credit Card
ORD0223,2023-11-05,November,Q4,T-Shirt,Clothing,894.49,3,15,2280.95,Pune,Male,Cash
ORD0224,2023-08-11,August,Q3,T-Shirt,Clothing,701.86,3,20,1684.46,Chennai,Male,Credit Card
ORD0225,2023-03-15,March,Q1,Jeans,Clothing,1598.65,2,0,3197.3,Lucknow,Female,Credit Card
ORD0226,2023-07-16,July,Q3,Headphones,Electronics,1082.38,3,10,2922.43,Lucknow,Male,Net Banking
ORD0227,2023-08-16,August,Q3,Headphones,Electronics,3652.06,3,10,9860.56,Delhi,Male,Net Banking
ORD0228,2023-02-28,February,Q1,T-Shirt,Clothing,657.63,3,5,1874.25,Mumbai,Male,Cash
ORD0229,2023-05-15,May,Q2,Rice 5kg,Grocery,385.45,5,0,1927.25,Chennai,Female,Debit Card
ORD0230,2023-03-04,March,Q1,Coffee Beans,Grocery,714.13,4,5,2713.69,Bangalore,Male,Cash
ORD0231,2023-12-16,December,Q4,Headphones,Electronics,4574.45,4,0,18297.8,Kolkata,Female,Credit Card
ORD0232,2023-12-31,December,Q4,Rice 5kg,Grocery,439.76,3,5,1253.32,Bangalore,Female,Net Banking
ORD0233,2023-05-02,May,Q2,Desk Chair,Furniture,4092.26,2,5,7775.29,Ahmedabad,Male,UPI
ORD0234,2023-03-08,March,Q1,Rice 5kg,Grocery,450.3,4,20,1440.96,Lucknow,Male,Credit Card
ORD0235,2023-07-30,July,Q3,Bookshelf,Furniture,3291.72,4,20,10533.5,Pune,Male,Debit Card
ORD0236,2023-12-15,December,Q4,T-Shirt,Clothing,877.75,4,15,2984.35,Jaipur,Female,Debit Card
ORD0237,2023-08-10,August,Q3,Rice 5kg,Grocery,473.93,2,5,900.47,Jaipur,Male,Credit Card
ORD0238,2023-06-15,June,Q2,Rice 5kg,Grocery,303.56,2,5,576.76,Hyderabad,Female,Net Banking
